 # k        T(k) 
  3.5444556740E+00  2.6153925499E-04
  3.6187498124E+00  2.5217915558E-04
  3.6946012052E+00  2.4314835943E-04
  3.7720424934E+00  2.3443552466E-04
  3.8511070023E+00  2.2602968964E-04
  3.9318287557E+00  2.1792026480E-04
  4.0142424905E+00  2.1009701743E-04
  4.0983836718E+00  2.0255005827E-04
  4.1842885079E+00  1.9526983043E-04
  4.2719939663E+00  1.8824709995E-04
  4.3615377892E+00  1.8147294597E-04
  4.4529585099E+00  1.7493874649E-04
  4.5462954695E+00  1.6863616251E-04
  4.6415888336E+00  1.6255714168E-04
  4.7388796097E+00  1.5669392179E-04
  4.8382096649E+00  1.5103898018E-04
  4.9396217439E+00  1.4558505699E-04
  5.0431594872E+00  1.4032515014E-04
  5.1488674501E+00  1.3525247719E-04
  5.2567911220E+00  1.3036050206E-04
  5.3669769455E+00  1.2564290746E-04
  5.4794723369E+00  1.2109358377E-04
  5.5943257062E+00  1.1670664121E-04
  5.7115864781E+00  1.1247638821E-04
  5.8313051135E+00  1.0839732575E-04
  5.9535331308E+00  1.0446414422E-04
  6.0783231283E+00  1.0067171688E-04
  6.2057288068E+00  9.7015093245E-05
  6.3358049927E+00  9.3489493437E-05
  6.4686076615E+00  9.0090302419E-05
  6.6041939623E+00  8.6813062705E-05
  6.7426222418E+00  8.3653470015E-05
  6.8839520696E+00  8.0607373257E-05
  7.0282442643E+00  7.7670759332E-05
  7.1755609189E+00  7.4839758349E-05
  7.3259654282E+00  7.2110630656E-05
  7.4795225156E+00  6.9479770249E-05
  7.6362982613E+00  6.6943693417E-05
  7.7963601304E+00  6.4499038017E-05
  7.9597770023E+00  6.2142559366E-05
  8.1266192001E+00  5.9871125544E-05
  8.2969585208E+00  5.7681713555E-05
  8.4708682666E+00  5.5571405799E-05
  8.6484232757E+00  5.3537386978E-05
  8.8296999555E+00  5.1576939769E-05
  9.0147763145E+00  4.9687441099E-05
  9.2037319966E+00  4.7866361337E-05
  9.3966483150E+00  4.6111257790E-05
  9.5936082871E+00  4.4419774263E-05
  9.7946966707E+00  4.2789637215E-05
  1.0000000000E+01  4.1218652647E-05
  1.0209606623E+01  3.9704703728E-05
  1.0423606740E+01  3.8245748147E-05
  1.0642092441E+01  3.6839815360E-05
  1.0865157747E+01  3.5485004103E-05
  1.1092898649E+01  3.4179480674E-05
  1.1325413152E+01  3.2921475326E-05
  1.1562801312E+01  3.1709281414E-05
  1.1805165286E+01  3.0541252282E-05
  1.2052609369E+01  2.9415799514E-05
  1.2305240044E+01  2.8331390956E-05
  1.2563166025E+01  2.7286548750E-05
  1.2826498305E+01  2.6279847372E-05
  1.3095350205E+01  2.5309911746E-05
  1.3369837418E+01  2.4375415844E-05
  1.3650078065E+01  2.3475080531E-05
  1.3936192742E+01  2.2607672192E-05
  1.4228304572E+01  2.1772001115E-05
  1.4526539259E+01  2.0966919906E-05
  1.4831025143E+01  2.0191322084E-05
  1.5141893253E+01  1.9444140561E-05
  1.5459277364E+01  1.8724346321E-05
  1.5783314057E+01  1.8030947061E-05
  1.6114142773E+01  1.7362985951E-05
  1.6451905878E+01  1.6719540338E-05
  1.6796748721E+01  1.6099720550E-05
  1.7148819699E+01  1.5502668807E-05
  1.7508270317E+01  1.4927557969E-05
  1.7875255259E+01  1.4373590598E-05
  1.8249932448E+01  1.3839997824E-05
  1.8632463119E+01  1.3326038363E-05
  1.9023011887E+01  1.2830997525E-05
  1.9421746815E+01  1.2354186338E-05
  1.9828839491E+01  1.1894940552E-05
  2.0244465100E+01  1.1452619826E-05
  2.0668802496E+01  1.1026606862E-05
  2.1102034286E+01  1.0616306598E-05
  2.1544346900E+01  1.0221145394E-05
  2.1995930680E+01  9.8405703099E-06
  2.2456979955E+01  9.4740483430E-06
  2.2927693129E+01  9.1210657264E-06
  2.3408272762E+01  8.7811272522E-06
  2.3898925662E+01  8.4537556043E-06
  2.4399862973E+01  8.1384907275E-06
  2.4911300261E+01  7.8348892034E-06
